"","x"
"393",1.14756862848921e-05
"394",1.14832624162554e-05
"395",1.14344791041942e-05
"396",1.14880104927815e-05
"397",1.14398882029953e-05
"398",1.14626774894625e-05
"399",1.14409787825745e-05
"400",1.13661281083962e-05
"401",1.12949279756586e-05
"402",1.12573931861099e-05
"403",1.13067041414952e-05
"404",1.13096500106896e-05
"405",1.13128597274008e-05
"406",1.13159908126947e-05
"407",1.13068164856813e-05
"408",1.13571682345713e-05
"409",1.14168672922774e-05
"410",1.14408886544555e-05
"411",1.14862288754754e-05
"412",1.1460314198071e-05
"413",1.14530243636984e-05
"414",1.14675422662445e-05
"415",1.14689279151802e-05
"416",1.14229711345697e-05
"417",1.1423800029292e-05
"418",1.14194201176673e-05
"419",1.14569301639177e-05
"420",1.148754426174e-05
"421",1.14669457410714e-05
"422",1.15438550971748e-05
"423",1.16142313781991e-05
"424",1.1529382342132e-05
"425",1.15328625396945e-05
"426",1.15564819457667e-05
"427",1.16530156367768e-05
"428",1.15801526978485e-05
"429",1.15451586290411e-05
"430",1.15026393108961e-05
"431",1.15873508544471e-05
"432",1.15676856771475e-05
"433",1.15332119004843e-05
"434",1.14903663662201e-05
"435",1.1433623982643e-05
"436",1.14557624290522e-05
"437",1.13847054557632e-05
"438",1.12943660665311e-05
"439",1.12767541935739e-05
"440",1.13546348128285e-05
"441",1.13885853380588e-05
"442",1.14431838980554e-05
"443",1.14115042922292e-05
"444",1.14239260552952e-05
"445",1.13885956001046e-05
"446",1.1320577303104e-05
"447",1.12738919216384e-05
"448",1.12959990496694e-05
"449",1.13472665838046e-05
"450",1.13728880933623e-05
"451",1.14401930565716e-05
"452",1.14002184257394e-05
"453",1.13914042127297e-05
"454",1.13931492535316e-05
"455",1.14253339440493e-05
"456",1.13938030588027e-05
"457",1.14188527038779e-05
"458",1.13653662199729e-05
"459",1.1370822780043e-05
"460",1.13392474489642e-05
"461",1.13698604868852e-05
"462",1.13647231291761e-05
"463",1.13636638340671e-05
"464",1.14342993793896e-05
"465",1.14974867147161e-05
"466",1.1488169210957e-05
"467",1.1479456050514e-05
"468",1.14548278012739e-05
"469",1.1393307799327e-05
"470",1.13558305997427e-05
"471",1.12584953021408e-05
"472",1.12755216988095e-05
"473",1.12326523188078e-05
"474",1.12367127664035e-05
"475",1.12176087645689e-05
"476",1.12797754144245e-05
"477",1.12696048095516e-05
"478",1.13258330531103e-05
"479",1.13149630394262e-05
"480",1.13121739035288e-05
"481",1.13375972077618e-05
"482",1.12903543961329e-05
"483",1.11901091639562e-05
"484",1.11805722120662e-05
"485",1.11814704084743e-05
"486",1.11842755004453e-05
"487",1.12049507182114e-05
"488",1.13148673905859e-05
"489",1.13462291999897e-05
"490",1.13941358242601e-05
"491",1.1415518131367e-05
"492",1.1406773554661e-05
"493",1.14873075537887e-05
"494",1.14771761546284e-05
"495",1.1484299916109e-05
"496",1.14221287361117e-05
"497",1.14622673056135e-05
"498",1.14381558028281e-05
"499",1.13929102371388e-05
"500",1.14159336435917e-05
"501",1.13958914330561e-05
"502",1.12982963349923e-05
"503",1.12978938326121e-05
"504",1.12391761906179e-05
"505",1.12576894521048e-05
"506",1.12763095267918e-05
"507",1.12494771559988e-05
"508",1.11928530874265e-05
"509",1.1155576086496e-05
"510",1.11178204845777e-05
"511",1.1120894401486e-05
"512",1.10733351660008e-05
"513",1.10954673737728e-05
"514",1.11336990417909e-05
"515",1.11174317499807e-05
"516",1.11496894220346e-05
"517",1.12163719022006e-05
"518",1.12798499656506e-05
"519",1.12744780587515e-05
"520",1.12342843462937e-05
"521",1.12084856965419e-05
"522",1.11990531735533e-05
"523",1.11530640988044e-05
"524",1.11721960455489e-05
"525",1.12091124716624e-05
"526",1.13054903615341e-05
"527",1.13251131810097e-05
"528",1.12649850939026e-05
"529",1.12477610913592e-05
"530",1.12427537531481e-05
"531",1.13041499802389e-05
"532",1.13988847407987e-05
"533",1.142535530874e-05
"534",1.14236187632368e-05
"535",1.1450440403304e-05
"536",1.13638114566062e-05
"537",1.14207189727117e-05
"538",1.14156136478346e-05
"539",1.13574393230206e-05
"540",1.13627526035473e-05
"541",1.13709797476034e-05
"542",1.13527161493701e-05
"543",1.13800012701747e-05
"544",1.14334635231051e-05
"545",1.13676269395664e-05
"546",1.14352236869842e-05
"547",1.13342208513121e-05
"548",1.13269944570913e-05
"549",1.12888576229365e-05
"550",1.12326547689006e-05
"551",1.11463628221019e-05
"552",1.11118735378926e-05
"553",1.11018072328489e-05
"554",1.11602371876694e-05
"555",1.12715781126764e-05
"556",1.12835003932667e-05
"557",1.13435247231077e-05
"558",1.13397252184789e-05
"559",1.13306590586684e-05
"560",1.13129168909508e-05
"561",1.13731903571353e-05
"562",1.13378257335352e-05
"563",1.13438467485435e-05
"564",1.14263477510076e-05
"565",1.14401756343747e-05
"566",1.14808382412592e-05
"567",1.14385062129689e-05
"568",1.1385280666083e-05
"569",1.14049710745528e-05
"570",1.14625302635999e-05
"571",1.14391774609443e-05
"572",1.13898201917002e-05
"573",1.14552283936635e-05
"574",1.14541087452566e-05
"575",1.14954023480724e-05
"576",1.15402268979745e-05
"577",1.15759547976915e-05
"578",1.16870884246866e-05
"579",1.16916748269216e-05
"580",1.17022549550196e-05
"581",1.16644881844434e-05
"582",1.16022154096303e-05
"583",1.16291040317065e-05
"584",1.16285971882326e-05
"585",1.17069683361347e-05
"586",1.18713720949823e-05
"587",1.19908663356215e-05
"588",1.19545278464384e-05
"589",1.1973834133017e-05
"590",1.19959584627331e-05
"591",1.20131747346392e-05
"592",1.20750062891916e-05
"593",1.20376870360162e-05
"594",1.21046100971384e-05
"595",1.20320624170859e-05
"596",1.21293516314314e-05
"597",1.21588439352342e-05
"598",1.22026819221268e-05
"599",1.21842532406692e-05
"600",1.22757688911302e-05
